headline,clickbait,clickbaitNoise
What Has Helped You Through Eating Disorder Recovery,1,0.95
14 Crazy Tricks That'll Actually Make You Warmer,1,0.95
"The Internet Can't Stop Sharing This Insane Tabla Cover Of ""How Deep Is Your Love""",1,0.95
These Guys Beatboxed With Siri To Create The Most Amazing Indian Classical Jam Ever,1,0.95
22 Signs You're Middle-Aged Before Your Time,1,0.95
Which Christmas-Themed Horror Movie Should You Watch,1,0.95
"Two Palestinians die, at least seven others are wounded as Israeli attacks continue",0,0.05
"New law to help asbestos sufferers in Victoria, Australia",0,0.05
"Lost actress Elizabeth Mitchell cast in ABC's ""V"" pilot",0,0.05
2007 German League Cup: Werder Bremen 1-4 FC Bayern Munich,0,0.05
We Gave Up Masturbation For A Month And It Completely Changed Us,1,0.95
Wikinews interviews Stephen Murphy about the upcoming by-election in the Higgins electorate of the Australian parliament,0,0.05
Purdue Women Regain Balance After a Season Spent Stumbling,0,0.05
"Russia Facing Long Recession, World Bank Says",0,0.05
"75 Thoughts I Had While Watching ""Selena"" For The First Time",1,0.95
Which Classic Cocktail Are You,1,0.95
22 Super Annoying Things Every Woman Has To Deal With,1,0.95
International pressure mounts on Guinean military junta to withdraw from elections,0,0.05
"Amy Schumer Beautifully Crashed A ""Game Of Thrones"" Cast Photo",1,0.95
"Alice From ""Alice In Wonderland"" Is The Worst Disney Character Of All Time",1,0.95
"Which ""Friends"" Character Is Your BFF Based On Your Zodiac Sign",1,0.95
Over one hundred die in Madrid plane crash,0,0.05
"Lizards are capable of problem-solving, study shows",0,0.05
First encyclopedic dictionary of the Black Sea released,0,0.05
Canadian military hosts first gay military wedding,0,0.05
US and Mexico to revise counter-drug strategy,0,0.05
Obama on Spot Over a Benefit to Gay Couples,0,0.05
24 Adorable Products Every Cat Lover Needs In Their Home,1,0.95
We Know Which Celebrity You Should Marry Based On Your Sign,1,0.95
"Someone Made An Amazing Mashup Video Of Mariah Carey ""Shading"" Ariana Grande",1,0.95
21 Back-To-School Style Inspirations From Extremely Stylish Canadians,1,0.95
"Maine resident arrested in Florida for death threats to Bush, Obama",0,0.05
This Caption On Lindsay Lohan's Instagram Is Amazing And Completely Mind Boggling,1,0.95
Wikinews interviews New Zealand Paralympic skier Adam Hall,0,0.05
What Would The Lifetime Movie About You Be Called,1,0.95
Can We Guess Your Age With Gay Porn,1,0.95
"Do You Remember The Lyrics To ""You Belong With Me"" By Taylor Swift",1,0.95
Father Blamed in 2 Killings,0,0.05
Is British Food Really That Bad,1,0.95
Sydney Swans win AFL premiership after 72 years in classic match,0,0.05
North Carolina Approves Ban on Smoking,0,0.05
Signs You're An Old Married Couple,1,0.95
"14 Reasons ""The Muppet Christmas Carol"" Is The Ultimate Christmas Movie",1,0.95
"County Donegal, Ireland crash kills one, injures two",0,0.05
Group Sounds Alarm on European Bee Industry,0,0.05
25 Incredibly Rude Texts From Your Insomnia,1,0.95
Which HBO Series Should You Watch Based On Your Sign,1,0.95
These Two Adorable Guinea Pigs Sharing A Blade Of Grass Might Just Cause Your Heart To Explode,1,0.95
IWF reverses censorship of Wikipedia,0,0.05
These Women Bikini Waxed Their Boyfriends To Give Them A Taste Of Womanhood,1,0.95
We Know The Perfect Board Game For You Based On Your Zodiac Sign,1,0.95
Volcanic bulge found in Oregon,0,0.05
"Jon Snow Danced On TV To Drake's ""Hotline Bling"" And It Made People's Christmas",1,0.95
Facebook Users Are Going Nuts Over This Fake Jennifer Aniston Story,1,0.95
Nelson Mandela suffers collapsed lung,0,0.05
Can You Name Every My Chemical Romance Song,1,0.95
"Can You Remember The First Episode Of ""Full House""",1,0.95
African Migrants Arrive in Italy After Standoff With Malta,0,0.05
Report says disappearing life threatens biodiversity,0,0.05
21 Hilarious Tweets That Perfectly Sum Up Your Relationship With Your Co-Workers,1,0.95
19 South Koreans return home after release from Taliban captivity,0,0.05
Arizona applies ban on autodialers to mobile phone spam,0,0.05
Does Your Favorite Superhero Movie Pass The Bechdel Test,1,0.95
17 Things That Happen When You Don't Eat Meat And It's Thanksgiving,1,0.95
18 Sweet Pumpkin Treats You Won't Believe Are Healthy,1,0.95
Boeing and Airbus Prepare (Again) for Tanker Battle,0,0.05
This Woman Had The Best Response When Her Husband Asked What Was On Her Mind,1,0.95
Los Angeles Lakers need to win game six to tie NBA championship,0,0.05
16 Things Only People With Raynaud's Will Understand,1,0.95
12 Grim Realities Of Life,1,0.95
23 Pictures People Who Haven't Worked Retail Will Never Understand,1,0.95
U.S. Needs to Play Cards Right in India,0,0.05
This Video Is For Every Girl Who Loves Alcohol,1,0.95
"Banks Have Raised Billions Since Test, Geithner Says",0,0.05
"Here's The Cast Of TV's New ""Rocky Horror Picture Show""",1,0.95
"15 Women Show Off Their Most ""Unflattering"" Hair, Makeup, And More",1,0.95
"Which Look From Rashida Jones' ""Flip And Rewind"" Are You",1,0.95
5 Famous Guys Who Are Masters At Saying One Particular Word,1,0.95
Shares Down on a Day of Choppy Trading,0,0.05
Senate Approves Tight Regulation Over Cigarettes,0,0.05
25 Times Chris Pratt And Anna Faris Proved Love Is Real In 2015,1,0.95
Iraq Considers Giving Foreign Oil Investors Better Terms,0,0.05
Trial date set for fraud case against Church of Scientology in France,0,0.05
NASA launches Space Shuttle Atlantis,0,0.05
42 Movies You Will Be Talking About This Awards Season,1,0.95
21 Pictures That Prove That Canada Is Not A Real Country,1,0.95
Media reports: Israeli warplanes training in Iraq,0,0.05
Vanuatu PM accused of assaulting envoy,0,0.05
British foreign secretary: 'President Mugabe persists in his ambition to steal the election',0,0.05
The Hardest Science Quiz You'll Take Today,1,0.95
You've Been Making Pancakes Wrong Your Entire Life,1,0.95
19 Kardashian Pregnancy Moments That Were Way Too Relatable,1,0.95
"I'm An Atheist, But I'm Not",1,0.95
"500 Storm Troopers Invade Great Wall Of China, Star Wars Hype Crushes All Global Resistance",1,0.95
"ITV fined A$3000 for cruelty to rat on ""I'm A Celebrity...Get Me Out Of Here!""",0,0.05
BBC Outside Broadcasts to be sold to Satellite Information Services,0,0.05
14 Honest Instagrams About Fall,1,0.95
Search for Steve Fossett continues,0,0.05
17 Signs You May Actually Be Addicted To Hajmola,1,0.95
Daniel Radcliffe Has Ditched The Hairy Potter Look,1,0.95
US drone strike kills eight in Pakistan's tribal region,0,0.05
We Know Your Relationship Status Based On Your Opinions About 2015,1,0.95
22 Things People Who Are Shit At Cooking Will Understand,1,0.95
The Year 2015 In Haikus,1,0.95
This Polar Bear Loves To Wear A Bucket On Her Head,1,0.95
10 Swoonworthy Recipes That Seem Fancy But Are Actually Easy To Make,1,0.95
19 New Things J.K. Rowling Taught Us About Harry Potter In 2015,1,0.95
25 Perfect Outfits To Wear For A Fall Wedding,1,0.95
"Dow Jones Industrial closes above 14,000 for first time ever",0,0.05
Suicide bomber kills at least twenty in Pakistan town,0,0.05
"Police in Bathurst, NSW assaulted with ""sex toy""",0,0.05
A Bubble of Diplomats and Officials Is Set to Pop,0,0.05
McCain and Obama face off in U.S. presidential candidate debate,0,0.05
"James Finds Help, but He Hardly Needs It",0,0.05
What Does Your Bellybutton Say About Your Personality,1,0.95
"Bomb blast at Iraqi football match kills 25, many wounded",0,0.05
How Futuristic Are You,1,0.95
26 Delicious Things You Can Make With A Tube Of Biscuit Dough,1,0.95
Are You More Lady Gaga Or Leonardo DiCaprio,1,0.95
"24 Middle-Class Crisps That Went Way, Way Too Far",1,0.95
A Mall Santa Did Everything He Could To Make An Autistic Child Feel Comfortable,1,0.95
American singer and actor Al Martino dies at age 82,0,0.05
UN dismisses first official over oil-for-food scandal,0,0.05
21 Gardening Projects To Get You Through Winter,1,0.95
This Was What The World Looked Like 30 Years Ago,1,0.95
Are You More Demi Lovato Or Poot,1,0.95
19 Surprising Confessions From People Who Married For Money,1,0.95
This Is The Worst Thing I Ever Did,1,0.95
"Owsley Stanley, icon of 1960s counterculture, dies at 76",0,0.05
"How Well Do You Know The Geography Of ""Game Of Thrones""",1,0.95
The Most Canadian Groom Ever Left His Wedding To Plow Out His Guests In A Snow Storm,1,0.95
Economy Shrinks at Fastest Rate Since 1950s,0,0.05
MLB: Houston Astros fire manager Phil Garner and GM Tim Purpura,0,0.05
Here's What You Should Eat For Dinner Tonight,1,0.95
Steve Jobs denies 'location-gate',0,0.05
"According To Taylor Swift's Twitter Faves, She And Calvin Harris Are Probably Still Together",1,0.95
"Wladimir Klitschko unifies IBF, WBO heavyweight titles",0,0.05
Boston Mayor Opposes Assault Weapons for Patrol Officers,0,0.05
Regular People Try To Catch Passes From An NFL Quarterback,1,0.95
"Bus crash kills six, injures Iraqi minister in Jordan",0,0.05
16 Dudes Who Are Still Going To Be Single In 2016,1,0.95
British charities form fund recovery group,0,0.05
33 Tweets About Being A Lesbian That Will Make You Wet Yourself... With Laughter,1,0.95
"14 ""Grey's Anatomy"" Questions That Are Impossible To Answer",1,0.95
"Jack Diesing Sr., former chairman of the College World Series, dies age 92",0,0.05
What's Your 2015 Name,1,0.95
Thierry Henry Reacted Brilliantly To Brendan Rodgers Getting Sacked And It Became A Huge Meme,1,0.95
The Wait Is Over: You Can Now Put Your Penis In A Mouth-Vagina-Anus Robot,1,0.95
What Your Favorite Pop Divas Looked Like In 2006 Vs. Now,1,0.95
Yet Another Vogue for iPhones: Video Games,0,0.05
"16 Blind Auditions From ""The Voice"" That Will Give You All The Feels",1,0.95
21 Nerdy Things You Need For Your Home Right Now,1,0.95
A Marketer Travels Globally and Snacks Locally,0,0.05
Iranian government bans critical media,0,0.05
BuzzFeed Employees React To Twenty One Pilots Because Someone Asked Us To,1,0.95
"Tornado touches down in Huntsville, Alabama",0,0.05
"Dear Men Of America, It's Too Cold To Wear Shorts",1,0.95
Documents show U.S. knew of Guatemalan human rights abuses,0,0.05
American actress Estelle Getty dead at age 84,0,0.05
U.S. Cites Emergency in Asbestos-Poisoned Town,0,0.05
"U.S. President Barack Obama calls North Korea a ""grave threat""",0,0.05
An Unexpected Journey for an Anonymous All-Star,0,0.05
Blair: G8 leaders announce $50 billion aid increase; talks on trade and climate change,0,0.05
22 Words That Have A Totally Different Meaning In Austin,1,0.95
Two politicians jailed for life over Rwandan genocide,0,0.05
"Ranking The Winners Of ""Top Model"" From Worst To Best",1,0.95
21 Of The Most Beautiful Lines In Literature About Anxiety,1,0.95
Swedish men suspected of nuclear plant sabotage released,0,0.05
"Obama Compared Republicans To Grumpy Cat, Whipped Out Uncanny Grumpy Cat Impersonation",1,0.95
This Is How A Rumor That Drake Died Got Started,1,0.95
"David Rohde, Times Reporter, Escapes Taliban After 7 Months",0,0.05
Which Dog Should Give You A Pep Talk Today,1,0.95
Which Cenobite Are You,1,0.95
"TV channel does not hold exclusive trademark rights to the number 3, Stockholm court rules",0,0.05
NASA rethinks abandoning Hubble,0,0.05
Rutgers Rally Falls Short Against Purdue,0,0.05
17 Hilarious Honest Definitions Of Sci-Fi And Fantasy Terms,1,0.95
Chrysler and Union Agree to Deal Before Federal Deadline,0,0.05
Northwestern Lacrosse Plays (for Jaclyn) to Win,0,0.05
23 Cheap and Easy Hacks For the Best Bath Ever,1,0.95
Ten climbers killed in avalanche at Turkish ski resort,0,0.05
"Can You Match The Quote To The ""Grey's Anatomy"" Character",1,0.95
Men Transform Into Superheroes,1,0.95
20 Incredibly Honest Confessions About What It Is Really Like To Be A Stepparent,1,0.95
"20 Reasons Stiles Stilinski From ""Teen Wolf"" Is The Man Of Your Dreams",1,0.95
Britney Spears Or BS,1,0.95
Papua New Guinea at risk of AIDS epidemic,0,0.05
Over 100 people protest exclusion of gender identity protection in ENDA outside HRC dinner,0,0.05
30 Times Portland Was Too Portland To Function,1,0.95
What Have You Had On A Pizza,1,0.95
Dem. Republic of Congo prepares to confront Rwanda,0,0.05
Web browser Firefox increases market share in Europe,0,0.05
"Australian government introduces ""Fair Work"" to parliament",0,0.05
"The Cast Of ""High School Musical"" Reunited At Vanessa Hudgens' Halloween Party",1,0.95
One Girl Saved Her Trash For A Week And Things Piled Up,1,0.95
Can You Guess Which Celebrity This Tweet Belongs To,1,0.95
'Mobile phone dermatitis' linked to nickel deposits,0,0.05
Jackson Said to Have Had Pulse When Found,0,0.05
San Francisco hit-and-run suspect caught after lying,0,0.05
NATO summit in Bucharest enters second day,0,0.05
Officials Identify Alabama Gunman,0,0.05
21 Pictures That Anyone With A Squad Can Relate To,1,0.95
Cameras to Roll for Low-Budget Film Company,0,0.05
"The Cast Of ""Parks And Rec"" In Their First Episode Vs. Their Last Episode",1,0.95
"Which ""Jessica Jones"" Character Should You Team Up With",1,0.95
Two arrests made in Zotob worm attack,0,0.05
"Second Bangkok airport closed, protests continue",0,0.05
Test Your Culinary Knowledge,1,0.95
Palestinians arrested in West Bank raids,0,0.05
Are You THAT Relative,1,0.95
Stimulus Plan Sets New Limits on Executive Pay,0,0.05
This Photo Shoot Against The Backdrop Of Ganesh Chaturthi Celebrations Is Absolutely Stunning,1,0.95
The 31 Golden Retrievers Who Won 2015,1,0.95
"In Canada, 2 Oil Giants Said Near Merger Deal",0,0.05
Labour attack Tory economic policy,0,0.05
Gallinari Returns but Knicks Fall to 76ers,0,0.05
'Big Brother' contestant Parker Somerville sounds off about the show and his aspirations,0,0.05
Controversial blog relaunched in New Zealand,0,0.05
28 Kids Whose Futures Burn As Bright As The Sun,1,0.95
6 Types Of Lesbians You've Broken Up With,1,0.95
Democrats Work to Pare Cost of Health Care Bill,0,0.05
€8bn bank bailout in Ireland,0,0.05
Hurricane Guillermo forms in Pacific Ocean,0,0.05
27 Of The Most Awesome Trans Moments In 2015,1,0.95
NFL star Michael Vick indicted for running dog fighting operation,0,0.05
How Well Do You Remember Past Bonnaroo Lineups,1,0.95
David Beckham Immortalized His Daughters Drawing With A New Tattoo,1,0.95
McDonald's restaurant to close all locations in Iceland,0,0.05
"Which ""American Horror Story: Coven"" Witch Should Be Your BFF",1,0.95
Find Out Your Horoscope For The Week Of Nov. 2,1,0.95
Abraham Lincoln Bicentennial Commission endorses Children's Song,0,0.05
Suicide bomber attacks Iraqi mosque; twelve dead,0,0.05
Standoff at Islamabad mosque claims at least 9 lives in Pakistan,0,0.05
Flooding in Nakhon Sri Thammarat,0,0.05
"Ed Sheeran Has Quit Social Media To Stop ""Seeing The World Through A Screen""",1,0.95
FIA clears McLaren of allegations by Ferrari,0,0.05
"7 Essays To Read: When Schools Are Racist, ""Depressiongrams,"" And #ShoutYourAbortion",1,0.95
"29 Christmas Presents For The ""Twin Peaks"" Fan In Your Life",1,0.95
Greek newspaper reports British spy involved in torturing 28 Pakistani citizens,0,0.05
Mass graves found in Lebanon,0,0.05
New Jersey to consider bikini waxing ban,0,0.05
A 1-year long strike against FMC Novamed: Women workers allege unfair treatment,0,0.05
Drought conditions and high winds lead to wildfires in Texas,0,0.05
Tebow Returning to Florida for Final Year,0,0.05
"23 Reasons ""The Office"" Is The Worst Show Of All Time",1,0.95
23 Things People With Borderline Personality Disorder Want You To Know,1,0.95
"Palestinian election ends, exit polls give Abbas lead",0,0.05
Celebrity Names According To Justin Bieber,1,0.95
Are You More Ellen DeGeneres Or Jimmy Fallon,1,0.95
"Wikinews interviews Kevin Baugh, president of the Republic of Molossia",0,0.05
14 Men That Made 2015 A Maddeningly Hot Year,1,0.95
Nearly three million contraband cigarettes seized by Canadian and U.S. authorities,0,0.05
Can We Guess Your Hogwarts House Based On What You Like The Most,1,0.95
Fake impotence drugs linked to low blood sugar outbreak,0,0.05
18 Posts That Prove Coconut Oil Is The Answer To All Your Problems,1,0.95
19 Texts All Twentysomethings Have Sent Their Dad,1,0.95
"Ecuador Re-elects President, Preliminary Results Show",0,0.05
7th Heaven television series comes to an end,0,0.05
9 Of The Most Cringeworthy Things To Happen To Disney Princesses In 2015,1,0.95
Reports: North Korea to test third nuclear bomb,0,0.05
Pollution in Arctic carried by seabirds,0,0.05
10 Jack-O'-Lanterns That Would Terrify All Introverts,1,0.95
Neil Patrick Harris And David Burtka Made Their Kids An Adorable Sandcastle Cake,1,0.95
Latvia Is Shaken by Riots Over Its Weak Economy,0,0.05
Court Orders Search of White House Computers,0,0.05
Live grenade thrown at George Bush in Georgia,0,0.05
Detainee Who Claims Abuse to Return to Britain,0,0.05
Help Wanted: Must Sit in Fancy Stadium Seats,0,0.05
"Which ""Oops, We Forgot Matt Damon"" Movie Are You",1,0.95
"Cisco Buys Pure Digital, Maker of Flip Cameras",0,0.05
Take This Quiz To Make Your Brain Orgasm,1,0.95
Aerodynamics on Land: Aiming for 800 M.P.H.,0,0.05
Deal to Privatize Chicago Airport Fails,0,0.05
Drought stricken Somalia nears famine,0,0.05
A dozen 7-Elevens transformed into Kwik-E-Marts to promote Simpsons movie,0,0.05
"Aside from Semicon Taiwan 2007 - An attraction of ""exiderdome"" by Siemens",0,0.05
Are You Ready To Sync Your Vagina With Your Smartphone,1,0.95
"I Don't Need To Choose Between Black And White, And Neither Does My Hair",1,0.95
9 Sweet Stories Of Roommates Who Became Best Friends,1,0.95
N.C. Syringe Factory Tied to Deaths Went Uninspected Despite Complaints,0,0.05
Fourth Lebanon bomb rocks shopping mall,0,0.05
"32 Photos Of The ""Jane The Virgin"" Cast Hanging Out In Real Life",1,0.95
This Easy Trick Makes Your Waffles Taste Like Churros,1,0.95
A Reluctance to Break the Large Bills,0,0.05
New York Post to Carry News From Jerusalem Post,0,0.05
47 Movies That Helped People Cope During Their Depression,1,0.95
"President Obama's ""Comedians In Cars Getting Coffee"" Episode Is Hilarious",1,0.95
"There Are Two Plus-Size Models In This Year's ""Sports Illustrated"" Swimsuit Edition",1,0.95
Justices Hear Case on Tuition for Disabled,0,0.05
"After Marathon Haul, Phelps Turns to Sprints",0,0.05
This Is Amber Rose's World And We're Lucky To Be Living In It,1,0.95
11 Haunted Hotels In The UK You Can Actually Stay In This Halloween,1,0.95
"Leona Lewis assaulted at book signing in London, England",0,0.05
13 Celebrities Who Really Have Some Nerve,1,0.95
21 Things Only People Who Party Too Hard Understand,1,0.95
Why I Stopped Running From New York,1,0.95
"Road accidents, suicide, pregnancy and violence among top killers of world's youth",0,0.05
Doctor Reports 378 Dead in Sri Lanka,0,0.05
"Why ""Math Circus"" Is The Most Important Game Of Our Generation",1,0.95
"Fire kills six in Baltimore, United States",0,0.05
"Over 60 dead in Kenya cholera outbreak, state issues alert",0,0.05
Only Solve This Crossword If You're Feelin' A Little Tipsy,1,0.95
"Please, Everyone, Stop Saying ""Squad Goals""",1,0.95
20 killed and over 40 missing as overcrowded bus crashes into Nepal river,0,0.05
"With Parnell Out of Gas, the Mets Are Out of Luck",0,0.05
"Apple collecting location data from iPhone, iPad",0,0.05
Indonesian suspected bird flu case dies; symptoms included encephalitis,0,0.05
Limiting Deductions on Charity Draws Ire,0,0.05
This Comic Shows The True Struggle Of Adulting While Awkward,1,0.95
"Pizza Lovers Rejoice, Someone Invented A Necklace That Holds A Pizza Slice In",1,0.95
New Horizons probe bound for Pluto on nine year journey,0,0.05
Pakistan Wins World Twenty20 Championship,0,0.05
Which Broadway Musical Should You See Based On Your Birth Month,1,0.95
Here's What Real Vegetarians Actually Eat,1,0.95
31 Halloween Costumes That Require Absolutely No Skill,1,0.95
Audio Analysis: Getting a Jump on Gun Violence,0,0.05
26 State Fair Foods From 2015 That Will Blow Your Mind,1,0.95
"26 Jokes Guaranteed To Make ""Star Wars"" Fans Laugh Every Time",1,0.95
Which Ryan Murphy Show Are You,1,0.95
"Seven die in bombing in Falluja, Iraq",0,0.05
Colombia signs FTA with Mercosur,0,0.05
2007 European football friendly match: England vs. Germany,0,0.05
22 Autumn Scarves That Are Better Than A Boyfriend,1,0.95
13 Beautifully Honest Valentine's Cards For People Who Are Single AF,1,0.95
Tina Fey And Amy Poehler's Advice To Women Is All You'll Ever Need,1,0.95
16 Magical Ways To Cook Your Thanksgiving Turkey,1,0.95
Federal government begins employing strategies to repair New Orleans,0,0.05
13 Questions BSB And NKOTB Fans Are Tired Of Hearing,1,0.95
19 Mind-Blowing Pancakes Guaranteed To Change Breakfast Forever,1,0.95
"Which ""Glee"" Character Are You Based On Your Zodiac Sign",1,0.95
This Conversation Between Scott And Kourtney Is Truly Heartbreaking,1,0.95
Flying in the Dark on Fare Sales,0,0.05
How Bethpage Black Was Mastered (For a Day) By a Club Pro,0,0.05
"How NPR's Podcast ""The Hidden Brain"" Is All About You",1,0.95
Turkey mourns flotilla dead,0,0.05
"A Lot Of People Are Sharing This Powerful ""Doctor Who"" Speech About War",1,0.95
We Know How Many Times You've Had Sex This Week,1,0.95
17 Videos That Prove Kids Are Basically Just Drunk Adults,1,0.95
"Former FBI Second-In-Command says he was ""Deep Throat""",0,0.05
Japanese H-IIA rocket launches satellite into orbit,0,0.05
37 Of The Most Insane Pictures Ever Taken At Burning Man,1,0.95
Delaying College for a Year Could Have Benefits,0,0.05
"15 Things That Make The Cast Of ""Scream Queens"" Scream Bloody Murder",1,0.95
Feel Better Than Ever With The BuzzFeed Health & Beauty Newsletter,1,0.95
19 Things You Only People Who Eat Constantly Know To Be True,1,0.95
21 Tumblr Posts That Will Speak Directly To Your Soul During Finals Week,1,0.95
Which Stylish TV Lady's Wardrobe Should You Raid,1,0.95
Afghans riot after civilians die in crash,0,0.05
Which Shia LaBeouf Tweet Are You Based On Your Zodiac Sign,1,0.95
19 Painfully Honest Confessions From People Who Experience Panic Attacks,1,0.95
People React To Uber Passenger Ratings,1,0.95
Prospective Nobel Prize for Higgs boson work disputed,0,0.05
A Deer Broke Into A House And Basically Staged A Murder Scene,1,0.95
Kodak to Lose Up to 18% of Work Force,0,0.05
Find Out Which Hilarious Dog GIF Is 100% You With Just One Question,1,0.95
"Ford's US auto sales spike, surpassing GM",0,0.05
Here's How To Actually Do A Killer Abs Workout In Just 15 Minutes,1,0.95
19 Times Women Perfectly Demonstrated How To Slay Fuckboys On Tinder,1,0.95
Australian health workers to close intensive care units in Victoria next week,0,0.05
15 Wonderfully Nerdy Subscription Boxes Every Culture Vulture Will Adore,1,0.95
The 24th Shin Kong Life Tower Run Up will promote Bananas of Taiwan,0,0.05
England and Wales see 60% increase in public injured by police vehicles,0,0.05
35 Totally Brilliant Ways To Eat More Chocolate,1,0.95
"If You Don't Know Who The Clermont Twins Are, You Better Ask Somebody",1,0.95
Britain Finds Drugs on Plane; Crew Arrested,0,0.05
Lucky Charms Ice Cream Cake,1,0.95
Australian and New Zealander freemasons arrested for sorcery in Fiji,0,0.05
Tell Us About Yourself(ie): Demetri Martin,1,0.95
11 Shameful Twerking Confessions,1,0.95
Which Adorable Animal Eating Adorable Animal Are You And Your BFF,1,0.95
Which Warwick Rower Should You Be Dating Based On Your Favorite Disney Movie,1,0.95
2007 German League Cup: Bayern Munich wins 6th League Cup,0,0.05
US rapper Nate Dogg dies at age 41,0,0.05
17 Faces Everyone Who's Experienced Halloween In The Cold Will Understand,1,0.95
"Do You Remember The Words To ""You're The One That I Want""",1,0.95
Liam Hemsworth Dressed Like A Panda And Carried Jennifer Lawrence's Purse Along The Great Wall Of China,1,0.95
What Happened to Archway?,0,0.05
This Is What It's Actually Like To Live As An Anxious Person,1,0.95
Microsoft without Bill Gates at the helm,0,0.05
"Daimler acquires stake in winning team Brawn GP, changes its name to Mercedes Grand Prix",0,0.05
"Which Is The Best ""Star Trek"" Movie Of All Time",1,0.95
Women Respond To Their Cyberbullies,1,0.95
Scottish judge criticises medical care of murdered baby,0,0.05
Zoo Animals Around The World Are Opening Their Christmas Presents Early,1,0.95
Constant Fear and Mob Rule in South Africa Slum,0,0.05
There's An Incredibly Creepy New App That Brings Your Pictures To Life,1,0.95
New entrance discovered to world's longest cave,0,0.05
"David Bowie's Musical ""Lazarus"" Showcases His Enduring Legacy",1,0.95
Great News: Adele And Britney Spears Are Practically BFFs Now,1,0.95
Which Celebrity Quote Should Be Your Next Instagram Caption,1,0.95
Romanian Visa card transactions increase by 60 percent in 2004,0,0.05
Coroner Adds to Questions in Italy Murder Case,0,0.05
17 Photos That Offer A Rare Look At North Korea's Interiors,1,0.95
Australian Tax Office warns against tax return scam,0,0.05
What Are The Best Video Games Of All Time,1,0.95
US reporter convicted for not revealing source,0,0.05
This Crossword Is Full Of Fucked Up Celebrities,1,0.95
"Sarah Jessica Parker Talks Being A Carrie, ""Hocus Pocus,"" And Her Love Of New York",1,0.95
Hussein trial judge submits resignation,0,0.05
Which Pop Diva Alter Ego Are You,1,0.95
"With Time Running Out, Giro Stage Victory Eludes Garmin Team Again",0,0.05
19 Decadent Treats Worth Breaking Your Diet For,1,0.95
"New Mexico-based charismatic leader fails to predict doomsday, again",0,0.05
24 Times Anna Kendrick Was 100% Actually You,1,0.95
Howard and Magic Defeat Celtics and Force a Game 7,0,0.05
The Only Plans You Should Be Making This Valentine's Day,1,0.95
Remaining Expedition 25 crew launch to space,0,0.05
14 People Describe The Exact Moment They Realised They're In Love,1,0.95
US army commander in Afghanistan asks for more troops in leaked report,0,0.05
We Know Your Favorite Female Celeb Based On Your Favorite Male Celeb,1,0.95
Express Scripts Buys WellPoint Pharmacy Unit for $4.7 Billion,0,0.05
Canadian farmer vows to continue providing customers with raw milk despite order,0,0.05
At least eight dead after bombings in Iraq,0,0.05
Pakistan Says U.S. Drone Kills 13,0,0.05
Slovenian alpinist in rescue on Nanga Parbat,0,0.05
Usain Bolt to run 150 metre race in Manchester,0,0.05
31 Gifts For People Who Freakin' Love Fruit,1,0.95
18 Secrets Coffee Lovers Will Never Tell You,1,0.95
German Parliament votes yes on EU constitution; French referendum may vote no,0,0.05
This Couple Got Their Ancestry Traced And It Didn't Go As Planned,1,0.95
Malaysia: Premier Announces Resignation,0,0.05
What Type Of Thanksgiving Turkey Should You Make,1,0.95
Four Romanian ambassadors recalled,0,0.05
Watch People Get Their Mind Blown To The Possibility Of Winnie The Pooh Being A Girl,1,0.95
"After a Memorable Shot, a Final One for Two Maryland Seniors",0,0.05
Who Would You Be In A Crime Show,1,0.95
"18 Things You Really, Really Shouldn't Do",1,0.95
Which Dystopian Future Do You Actually Belong In,1,0.95
44 Brunch Recipes You Can Make At Home To Save Cash,1,0.95
How New Jersey Are You,1,0.95
Crisis at stricken Japan nuclear plant escalates to level of Chernobyl; six killed in aftershock,0,0.05
"For Dayton Coach Brian Gregory, a Lasting Tie to Michigan State",0,0.05
18 Tweets For Anyone Who Has A Fear Of Pooping In Public,1,0.95
18 Differences Between Snow Days In Canada And America,1,0.95
When You Drive Abuela Crazy,1,0.95
"CEO of GM outlines plan for ""New GM"" after auto company declared bankruptcy",0,0.05
NASA solar sail passes first major test,0,0.05
Chechnya Is Gripped by Political Kidnappings,0,0.05
Turbulence on Northwest Airlines flight injures 47,0,0.05
How Much Of An Asshole Is Your Dog,1,0.95
Microsoft Windows metafiles are a vector for computer viruses,0,0.05
"Which Character From ""Arrested Development"" Are You Based On Your Zodiac",1,0.95
Role Players Have Mended the Fraying Celtics,0,0.05
Blackhawks and Red Wings Carry Banner for Original Six,0,0.05
"21 Times ""Home Alone"" Proved Adults Are The Absolute Worst",1,0.95
23 Things Your RA Doesn't Want You To Know,1,0.95
"This Is What The Cast Of ""Bob's Burgers"" Looks Like IRL",1,0.95
"On Moving Day for 2 First Families, a Bit of Magic by 93 Pairs of Hands",0,0.05
16 Reasons Your Best Friend Is Your Best Friend,1,0.95
Call Of Duty Players Try Military Combat Gear,1,0.95
A Harry Potter-Themed Bar Just Opened And You Have To Pay Your Respects,1,0.95
Are These Solo Artists Better Than Their Original Bands,1,0.95
Football Club Could Segregate Black Fans From White Fans,1,0.95
Jack Black Tried Halloween Pinterest Hacks And Became A Master Pinner,1,0.95
Are You And Your S.O. More Jack & Sally Or Morticia & Gomez,1,0.95
"Golf Shoes to Improve Your Style, and  Your Game",0,0.05
27 Times What Happened In The Gay Bar Didn't Stay In The Gay Bar,1,0.95
